29,9,30,15,29,17,17,2,23,6,4,7,17,20,10,21,30,23,5,19,3,1,8,2,25,14,12,5,4,2,28,10,18,5,6,19,4,1,23,28,15,27,5,13,20,17,7,26,17,24,0,11,25,10,28,27,20,16,24,22,28,28,6,18,4,29,24,15,8,5,25,9,1,13,14,11,27,27,29,15,1,21,22,3,14,6,10,24,3,13,0,30,16,23,12,3,2,21,8,1
6,7,24,19,16,1,15,15,19,28,4,14,10,28,0,10,9,11,11,21,11,9,20,30,26,19,20,20,18,30,24,9,19,16,27,13,16,22,16,25,26,16,19,20,27,0,29,16,23,26,26,29,18,20,13,9,7,20,15,2,23,6,1,15,28,22,9,12,10,20,2,21,7,29,5,20,23,28,9,8,6,0,0,0,19,9,8,10,1,22,22,20,12,2,30,2,24,5,22,19
25,15,10,11,6,30,1,24,10,16,24,10,20,17,19,10,10,4,25,14,28,13,8,13,1,17,8,15,30,5,4,25,9,24,20,19,6,25,5,19,23,24,14,22,15,23,1,9,19,4,11,3,15,0,30,17,29,2,14,21,3,21,30,20,19,2,27,15,28,14,18,6,11,17,3,10,7,2,18,5,30,17,4,26,29,7,7,30,22,6,23,25,30,27,19,3,2,14,1,20
21,13,28,19,30,17,25,1,9,21,20,12,18,28,22,17,22,26,22,22,21,23,19,4,7,5,30,17,0,2,7,12,6,0,20,13,7,17,30,13,21,24,28,1,26,24,30,13,11,0,14,2,22,17,12,23,30,25,29,20,13,3,9,18,21,10,17,15,8,28,24,20,12,9,3,3,2,12,6,15,10,27,28,26,3,9,28,7,22,29,28,18,2,3,10,22,11,22,28,2
1,19,3,24,28,21,18,17,16,16,29,8,13,21,24,17,9,19,27,28,14,13,15,0,8,10,18,5,4,16,2,24,19,6,0,19,8,3,10,30,6,4,4,19,7,14,18,28,1,10,1,24,8,7,11,24,11,16,25,21,24,21,1,5,17,3,7,7,6,24,21,25,0,7,0,0,30,24,7,25,21,8,0,26,15,4,12,30,29,3,11,4,30,25,22,14,2,4,17,18
26,18,15,11,6,5,1,11,28,11,18,18,13,25,18,19,15,15,26,19,28,27,21,25,19,21,23,6,15,5,9,10,27,18,29,14,29,3,11,16,23,30,13,1,17,2,27,6,15,17,30,12,20,13,3,3,11,11,14,11,11,10,10,19,6,18,8,26,19,15,27,22,15,6,25,0,5,12,19,17,6,0,22,27,2,12,30,26,30,13,5,5,12,22,7,3,13,28,10,26
26,16,13,15,17,11,3,11,29,8,5,14,14,2,23,0,24,12,22,3,8,26,17,17,13,4,30,14,1,1,5,19,8,5,21,9,10,0,27,4,11,25,22,0,9,16,0,29,8,14,24,26,6,21,0,22,10,28,25,3,12,13,5,15,0,23,0,6,10,1,6,15,30,22,2,4,17,4,8,17,18,15,17,9,2,16,3,13,19,19,7,22,15,29,9,5,25,6,11,7
16,2,5,24,17,3,1,3,25,26,26,16,7,13,30,3,5,22,6,14,9,19,25,26,13,18,24,1,20,15,23,11,4,0,27,29,30,14,23,10,22,30,16,18,14,12,0,22,4,19,11,6,11,3,28,4,19,16,29,4,27,13,16,29,29,11,21,15,21,28,7,5,0,28,29,7,9,30,26,14,4,1,2,9,22,23,17,17,24,13,30,25,12,25,29,7,1,7,22,30
2,18,15,10,28,11,18,11,16,22,17,23,24,1,30,23,21,0,27,28,26,5,15,0,23,22,2,5,20,9,5,2,14,14,6,28,13,2,21,28,6,6,13,15,6,4,30,20,28,24,29,30,18,20,6,7,28,25,11,15,0,20,4,18,26,19,21,19,21,16,4,16,9,2,0,10,9,17,26,9,3,3,5,24,9,6,12,16,6,26,24,8,29,14,7,29,11,25,30,20
6,22,30,30,2,27,17,6,23,30,22,3,9,25,14,28,10,21,20,10,4,19,17,18,3,9,22,30,20,22,1,13,10,8,25,15,13,0,11,14,23,1,15,20,27,27,17,21,29,1,8,3,23,26,8,7,15,15,1,22,27,20,29,18,21,26,17,24,22,12,2,21,19,3,22,26,29,6,6,12,10,25,14,13,4,26,8,10,9,11,27,20,10,0,12,11,0,1,1,4
25,3,26,1,21,5,2,26,9,30,11,15,6,17,23,18,2,11,16,21,25,17,3,9,12,15,5,20,22,11,19,15,12,13,24,20,28,20,28,0,9,12,27,19,6,10,21,0,16,8,16,22,11,12,26,13,25,8,21,26,9,8,5,16,21,4,15,30,25,12,18,19,29,30,10,5,5,6,2,22,11,11,5,10,10,5,5,18,15,7,28,5,29,21,10,4,16,0,11,4
6,7,30,12,23,21,23,3,29,23,16,20,3,2,24,5,7,8,15,1,18,9,23,21,0,13,12,24,23,20,22,5,26,5,16,17,4,0,15,25,23,15,3,15,5,8,16,17,30,14,21,4,29,7,7,4,23,5,11,21,2,18,12,16,8,2,28,12,2,5,0,21,28,8,21,14,20,11,15,13,16,0,18,11,29,7,21,1,8,8,14,28,25,6,9,11,24,20,27,25
